"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"492",-5.19773384885211,-0.297540325869435,0.254615978439453,NA,0.325112635297267,NA,-0.186872559790256,0.505773190605175,-0.354941997013219,0.436957537292237,NA,8,-135.671092045517,287.397208928633,18.5169349945348,3.63136299665869e-06
"138",-4.94133127165595,-0.316267987702588,NA,NA,0.440499687840344,NA,NA,NA,-0.347913833042444,NA,NA,4,-139.691303047949,287.397867446528,18.5175935124299,3.63016753471933e-06
"778",-4.94601747264587,-0.360783539231907,NA,NA,0.486280105834369,NA,NA,NA,NA,0.313834949149937,-0.049014560072221,5,-138.702128727452,287.427158218263,18.5468842841644,3.57738974927095e-06
"833",-4.88791811522964,NA,NA,NA,NA,NA,NA,0.610545001757114,NA,0.502537231913252,0.161362504781349,4,-139.709240355673,287.433742061976,18.553468127877,3.56563262415285e-06
"459",-5.15491185594282,NA,0.261312458127614,NA,0.366664642097962,NA,NA,0.576377794484397,-0.363138163032983,0.43265889106406,NA,6,-137.702441282858,287.43695587614,18.5566819420411,3.559907584872e-06
"866",-4.94673062061729,-0.330318089017163,NA,NA,NA,NA,-0.257678600537524,0.521728378042136,NA,0.482109701269502,-0.0380869061759207,6,-137.749500255925,287.531073822274,18.6507998881756,3.39626266938008e-06
"370",-4.94337714799598,-0.311818467114274,NA,NA,NA,-0.0275661892009414,-0.258670531972353,0.536642832419138,NA,0.481731816466329,NA,6,-137.753901020112,287.539875350649,18.65960141655,3.38134935730765e-06
"836",-4.97053670916709,-0.32675588292132,0.138706390221615,NA,NA,NA,NA,0.637085453347645,NA,0.490167908784566,-0.0437138181308247,6,-137.757428950834,287.546931212091,18.6666572779923,3.36944120894337e-06
"340",-4.96694453516371,-0.3058971321582,0.13683206853038,NA,NA,-0.023647952270925,NA,0.64931537010452,NA,0.49048193132026,NA,6,-137.768671519884,287.569416350192,18.6891424160931,3.33177217859296e-06
"972",-5.1848973675684,-0.321444660481365,0.248552465561775,NA,0.350438923527962,NA,NA,0.53164690383512,-0.352502887747671,0.438017846418083,-0.0561273257632743,8,-135.765386423336,287.585797684272,18.7055237501737,3.30459419686428e-06
"468",-5.05235649622522,-0.302763957519093,0.147514852442141,NA,NA,-0.105948054748634,NA,0.743658645707583,-0.411561815162508,0.480481110018837,NA,7,-136.81497981044,287.672740369543,18.7924664354446,3.16401673321961e-06
"323",-4.92830321084774,NA,0.147727333424202,NA,NA,NA,NA,0.686116285043904,NA,0.488132100624406,NA,4,-139.830163471974,287.675588294577,18.7953143604781,3.15951449825679e-06
"841",-4.96850151366971,NA,NA,NA,0.283878604198443,NA,NA,0.460601614635135,NA,0.459690902707156,0.15250311879819,5,-138.857847933094,287.738596629546,18.8583226954476,3.06152821669659e-06
"498",-5.0229253616373,-0.30876205943898,NA,NA,NA,-0.112033975165165,-0.248824860853447,0.630905118586937,-0.399940775647696,0.472968747357428,NA,7,-136.852621174912,287.748023098487,18.8677491643881,3.04713246829244e-06
"961",-4.96978752511938,NA,NA,NA,NA,NA,NA,0.651631652791338,-0.363281282693143,0.501674907323418,0.162784767272319,5,-138.877617679386,287.778136122131,18.8978621880328,3.0015969455607e-06
"353",-4.90277773993178,NA,NA,NA,NA,NA,-0.242136996014228,0.577999932354745,NA,0.481296922965498,NA,4,-139.883660805983,287.782582962595,18.9023090284961,2.9949305480326e-06
"964",-5.05639197869858,-0.322613506072267,0.151461161928216,NA,NA,NA,NA,0.681672663916404,-0.371185892031336,0.488548257703707,-0.0403151698112303,7,-136.917762028313,287.878304805288,18.9980308711898,2.85496653257013e-06
"426",-5.01277328485023,-0.338602127022414,NA,NA,0.432979903502644,NA,-0.278527754676237,NA,-0.274564983398835,0.297680325252591,NA,6,-137.935099086452,287.902271483328,19.0219975492296,2.82095867154479e-06
"451",-5.01702637523795,NA,0.162160572836945,NA,NA,NA,NA,0.733948182713854,-0.373372996767729,0.486397321833704,NA,5,-138.95533198346,287.933564730279,19.0532907961806,2.77716370849474e-06
"994",-5.02463974904555,-0.327053137554061,NA,NA,NA,NA,-0.245851391686116,0.56360458296271,-0.356736784514207,0.481056355415369,-0.0358940625650621,7,-136.969185954118,287.981152656899,19.1008787228,2.71186392817309e-06
"850",-4.91774818072876,-0.328799134500589,NA,NA,NA,-0.0301311893495023,NA,0.594895037116884,NA,0.487562872822723,-0.0422244182439458,6,-137.983307528936,287.998688368295,19.1184144341968,2.68819063026458e-06
"396",-5.05532038300437,-0.331648941549904,0.136249384855624,NA,0.562809025387113,NA,NA,NA,-0.273034080456633,0.275886117499593,NA,6,-138.016524773123,288.065122856669,19.1848489225705,2.60036311516995e-06
"378",-5.00517373286029,-0.30730129327484,NA,NA,0.265669917939698,-0.0517709284575635,-0.151346816341163,0.431386330500951,NA,0.445248188289532,NA,7,-137.051534068268,288.1458488852,19.2655749511014,2.49749462825958e-06
"12",-4.96275635937879,-0.316848540954972,0.191914656591538,NA,0.515450241133872,NA,NA,NA,NA,NA,NA,4,-140.072056253906,288.159373858442,19.2790999243432,2.4806623324844e-06
"874",-5.01086709145514,-0.331526146734361,NA,NA,0.261848715169152,NA,-0.152618391074118,0.405678711252853,NA,0.44712619912119,-0.049715782280319,7,-137.06029611448,288.163372977624,19.2830990435254,2.47570705616138e-06
"978",-4.99831670339128,-0.327393187441637,NA,NA,NA,-0.113760003902317,NA,0.685598586955722,-0.403535967012199,0.47770852540131,-0.0444774383546941,7,-137.061116965522,288.165014679707,19.2847407456088,2.47367570327856e-06
"481",-4.98333028302418,NA,NA,NA,NA,NA,-0.232276302005548,0.622649100213538,-0.358115204931404,0.480383636922214,NA,5,-139.071846114001,288.16659299136,19.2863190572617,2.47172435774368e-06
"969",-5.04637550327873,NA,NA,NA,0.280466661333358,NA,NA,0.502770092047566,-0.348250824494165,0.459043918643463,0.152848405827528,6,-138.069934093203,288.17194149683,19.2916675627316,2.46512317267267e-06
"337",-4.87356186765634,NA,NA,NA,NA,-0.0337999391506249,NA,0.646142674888209,NA,0.485565129424355,NA,4,-140.085364608269,288.185990567167,19.3057166330688,2.44786750572627e-06
"858",-4.99675298358365,-0.331925544929159,NA,NA,0.289303682523897,-0.0582684709380515,NA,0.455866480126913,NA,0.443115534553231,-0.0562563781393378,7,-137.103231622258,288.24924399318,19.3689700590813,2.37166093631801e-06
"506",-5.08704057940786,-0.301900386572501,NA,NA,0.27952907479886,-0.158576030441416,-0.141032907158015,0.530137583575629,-0.406717545045421,0.43284579260303,NA,8,-136.110883490422,288.276791818444,19.396517884345,2.3392178329501e-06
"265",-4.89029669746718,NA,NA,NA,0.517943596402037,NA,NA,NA,NA,0.291413293589669,NA,3,-141.137928008592,288.285009335262,19.4047354011636,2.32962627020845e-06
"465",-4.95739727155707,NA,NA,NA,NA,-0.113290006399428,NA,0.739301479462886,-0.400371472196254,0.47803614743993,NA,5,-139.137658436762,288.298217636883,19.4179437027842,2.31429175843683e-06
"300",-5.03386552444439,-0.337932273411303,0.156292314448309,NA,0.488867483316817,NA,-0.316166510563094,NA,NA,0.298725390465413,NA,6,-138.133971649057,288.300016608538,19.4197426744398,2.31221102173559e-06
"361",-4.97018945765011,NA,NA,NA,0.272574733472113,NA,-0.133068318937364,0.457312509118249,NA,0.443782166749117,NA,5,-139.142020443542,288.306941650443,19.4266677163445,2.30421878725119e-06
"473",-5.04641111151124,NA,NA,NA,0.314771839102946,-0.163557901837093,NA,0.601497889115302,-0.412648676859636,0.427619723611231,NA,6,-138.153294087472,288.338661485367,19.4583875512687,2.26796233958772e-06
"986",-5.07958217488685,-0.329367722337298,NA,NA,0.302854332546068,-0.1668090918319,NA,0.553150869186424,-0.409406538917759,0.429467931843661,-0.061851966423667,8,-136.145583788242,288.346192414084,19.4659184799859,2.25943846647298e-06
"345",-4.95685112716493,NA,NA,NA,0.296047749779998,-0.0565341716068633,NA,0.503090416733419,NA,0.440149468645758,NA,5,-139.166540414337,288.355981592033,19.4757076579347,2.24840646444892e-06
"906",-4.99505233387139,-0.357988393748815,NA,NA,0.496407565628005,NA,NA,NA,-0.270511170181366,0.291553481147575,-0.0463860125395722,6,-138.218574905485,288.469223121394,19.588949187295,2.12463699647197e-06
"410",-4.99487232411636,-0.334099771293504,NA,NA,0.479879831026884,0.0364345338503387,NA,NA,-0.258831343633743,0.30416551428326,NA,6,-138.224686879853,288.48144707013,19.6011731360316,2.1116908730962e-06
"42",-4.89300443526565,-0.320754346713242,NA,NA,0.368254495722676,NA,-0.254159036277697,NA,NA,NA,NA,4,-140.256706418564,288.528674187758,19.6484002536597,2.06241046920061e-06
"140",-5.02826264521689,-0.313464793527817,0.191333442768802,NA,0.533942330782164,NA,NA,NA,-0.343570252426705,NA,NA,5,-139.262406350993,288.547713465345,19.6674395312461,2.04287022210455e-06
