,(Intercept),aspect,bldg,dforcore,dfresh,dmarine,elev,pfor,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
1273,-6.202825864,,,,-0.0073,-0.3080,0.6391,-0.1346,-6.3300,,,0.2950,,8,-111.8506843,239.7695504,10.3968674,6.88E-05
1269,-6.212371431,,,-0.0294,,-0.3045,0.6355,-0.1355,-6.3338,,,0.2951,,8,-111.8511002,239.7703823,10.39769931,6.87E-05
2446,-6.24512774,0.4360,,0.0122,0.2808,,,,-6.2564,-0.6281,,,0.1828,8,-111.851891,239.7719637,10.39928076,6.87E-05
1993,-6.400990473,,,,0.2722,,,0.2874,-6.7802,-0.7551,0.1322,0.3136,,8,-111.8547158,239.7776135,10.40493049,6.85E-05
190,-6.032017723,0.4526,,0.0979,-0.0369,-0.3207,0.6299,,-5.8415,,,,,8,-111.8612777,239.7907371,10.41805417,6.81E-05
1709,-5.98203196,,,-0.1106,0.0530,,0.5681,,-5.4777,,0.2502,0.2999,,8,-111.8633993,239.7949804,10.42229742,6.79E-05
2152,-4.984622729,0.4652,0.9873,-1.0478,,,0.6018,0.0964,,,,,0.1798,8,-111.8636862,239.7955541,10.42287117,6.79E-05
2963,-5.970048174,,0.7717,,,-0.0388,,,-5.2842,-0.2298,0.1834,,0.0620,8,-111.8669648,239.8021114,10.42942846,6.77E-05
3749,-5.93394264,,,-0.0158,,,0.5881,,-5.4082,,0.2487,0.2974,0.0487,8,-111.8672103,239.8026024,10.42991943,6.76E-05
360,-5.222809267,0.4805,0.9162,-1.6353,,,0.6180,0.2818,,-0.3416,,,,8,-111.8704845,239.8091509,10.43646793,6.74E-05
2207,-5.743009738,,0.8668,0.7123,0.1960,-0.1056,,,-5.6191,,,,0.0935,8,-111.8716419,239.8114657,10.43878269,6.74E-05
827,-4.733241867,,0.8959,,-0.0990,-0.0670,0.8126,,,-0.1574,0.3585,,,8,-111.8786496,239.825481,10.45279798,6.69E-05
2859,-4.721662539,,0.8884,,-0.0769,,0.7884,,,-0.1846,0.3611,,0.0462,8,-111.8821558,239.8324934,10.45981043,6.66E-05
875,-4.718962843,,0.9154,,-0.0788,,0.7739,0.0816,,-0.2276,0.3579,,,8,-111.8825918,239.8333655,10.4606825,6.66E-05
575,-4.997750392,,0.9664,-0.9216,-0.0557,-0.0915,0.8189,,,,0.3496,,,8,-111.8851634,239.8385085,10.46582555,6.64E-05
2615,-5.048429201,,0.9648,-1.1011,,-0.0661,0.7849,,,,0.3456,,0.0470,8,-111.8885294,239.8452406,10.47255766,6.62E-05
3257,-6.18989913,,,,-0.0164,-0.3404,0.6055,,-6.2942,,,0.3203,0.0849,8,-111.894703,239.8575878,10.48490481,6.58E-05
3253,-6.183031076,,,0.0468,,-0.3337,0.5930,,-6.3324,,,0.3208,0.0855,8,-111.8971503,239.8624824,10.48979938,6.57E-05
2263,-5.546214688,,1.0099,1.2646,,-0.2161,,0.2778,-5.5514,,,,0.0658,8,-111.901215,239.8706117,10.49792875,6.54E-05
2356,-4.715363068,0.4729,0.8708,,,-0.1104,0.5879,,,-0.0809,,,0.1959,8,-111.904813,239.8778078,10.50512485,6.52E-05
2096,-4.988135661,0.4640,0.9310,-1.0200,-0.0150,,0.6334,,,,,,0.1855,8,-111.9082588,239.8846995,10.51201651,6.49E-05
3652,-4.803793182,0.4925,1.0315,,,,,0.3071,,,0.1980,0.3948,0.1699,8,-111.9090726,239.8863271,10.51364414,6.49E-05
631,-5.05556825,,0.9651,-1.1190,,-0.0632,0.7904,-0.0044,,,0.3525,,,8,-111.91222,239.8926218,10.51993877,6.47E-05
2663,-5.037803341,,0.9568,-1.1022,,,0.7859,-0.0334,,,0.3570,,0.0461,8,-111.9170912,239.9023643,10.52968131,6.44E-05
2607,-5.006661423,,0.9773,-1.0225,-0.0202,,0.7846,,,,0.3526,,0.0437,8,-111.9180546,239.904291,10.53160801,6.43E-05
2915,-4.714229436,,0.9164,,,,0.7132,0.0831,,-0.2045,0.3495,,0.0508,8,-111.9279193,239.9240204,10.55133747,6.37E-05
2348,-4.698226227,0.4737,0.8640,,-0.0685,,0.6243,,,-0.1469,,,0.1917,8,-111.9311806,239.9305429,10.55785994,6.35E-05
623,-5.014948716,,0.9603,-1.0275,-0.0253,,0.8021,-0.0338,,,0.3633,,,8,-111.9332598,239.9347013,10.56201835,6.33E-05
238,-6.020525152,0.4472,,-0.3173,0.0679,,0.6045,-0.2587,-5.4591,,,,,8,-111.9357202,239.9396222,10.5669392,6.32E-05
2867,-4.720716251,,0.8942,,,-0.0205,0.7331,,,-0.1485,0.3556,,0.0529,8,-111.9483511,239.9648841,10.5922011,6.24E-05
883,-4.718988181,,0.9257,,,-0.0307,0.7158,0.0944,,-0.1931,0.3504,,,8,-111.9494884,239.9671586,10.59447567,6.23E-05
474,-6.324890032,0.4444,,,0.2568,-0.0383,,0.2422,-6.5411,-0.7711,,,,8,-111.9498862,239.9679543,10.5952713,6.23E-05
2619,-4.709036324,,0.9629,,-0.0897,-0.1073,0.7895,,,,0.3424,,0.0448,8,-111.9525051,239.9731921,10.60050909,6.21E-05
462,-6.331837855,0.4439,,-0.1015,0.2663,,,0.2379,-6.4765,-0.7781,,,,8,-111.9574134,239.9830086,10.6103256,6.18E-05
2156,-4.654349901,0.4722,0.9875,,-0.0457,,0.5714,0.0972,,,,,0.1808,8,-111.9703949,240.0089716,10.63628861,6.10E-05
1213,-6.165869984,,,0.0576,-0.0196,-0.3375,0.6014,,-6.2841,,,0.3181,,8,-111.9708224,240.0098265,10.63714356,6.10E-05
635,-4.709631351,,0.9704,,-0.0933,-0.1093,0.7933,0.0083,,,0.3467,,,8,-111.9737701,240.015722,10.64303898,6.08E-05
1860,-4.842205672,0.5048,0.9797,,,,,0.4613,,-0.2648,0.1958,0.3923,,8,-111.9978043,240.0637904,10.69110738,5.94E-05
124,-4.714892111,0.4850,1.0068,,-0.1275,-0.2322,0.6569,0.1744,,,,,,8,-112.0111643,240.0905104,10.71782737,5.86E-05
120,-5.067132328,0.4760,0.9943,-1.1679,,-0.1672,0.6233,0.1625,,,,,,8,-112.0117453,240.0916724,10.7189894,5.85E-05
1430,-5.975995702,0.4622,,0.6531,,-0.1381,,,-5.7232,-0.3894,,0.3099,,8,-112.013717,240.0956158,10.72293285,5.84E-05
3529,-6.390234201,,,,0.2678,,,0.3332,-6.8894,-0.7856,,0.3046,0.0825,8,-112.016166,240.1005138,10.72783083,5.83E-05
2667,-4.689044124,,0.9579,,-0.0583,,0.7639,-0.0358,,,0.3573,,0.0452,8,-112.0226866,240.1135549,10.74087194,5.79E-05
3722,-5.972282529,0.4641,,,0.1827,,,,-5.1894,,0.1535,0.3659,0.1494,8,-112.0249963,240.1181743,10.74549135,5.78E-05
1830,-5.474663563,0.4588,,-1.8847,,,0.7631,,,-0.4998,0.3435,0.2990,,8,-112.0350062,240.1381943,10.76551132,5.72E-05
2675,-4.700126058,,0.9629,,,-0.0625,0.7218,0.0017,,,0.3449,,0.0512,8,-112.0355599,240.1393016,10.76661864,5.72E-05
1497,-6.438423024,,,,0.2459,-0.0876,,0.3611,-7.0021,-0.7746,,0.3162,,8,-112.0429842,240.1541502,10.78146727,5.67E-05
1612,-4.811381499,0.5006,1.0147,,0.1123,,,0.2953,,,0.2153,0.3858,,8,-112.0454255,240.1590327,10.78634977,5.66E-05
372,-4.71737212,0.4868,0.9457,,,-0.1295,0.5363,0.2658,,-0.2062,,,,8,-112.0457197,240.1596212,10.78693823,5.66E-05
64,-5.010833993,0.4781,0.9034,-0.9064,-0.0908,-0.1884,0.7127,,,,,,,8,-112.0679419,240.2040656,10.83138258,5.53E-05
312,-5.190265671,0.4758,0.8333,-1.4467,,-0.1148,0.6719,,,-0.1376,,,,8,-112.0701151,240.208412,10.83572899,5.52E-05
3977,-6.330619546,,,,0.2814,,,,-6.4532,-0.5558,0.1593,0.2882,0.0795,8,-112.080236,240.2286538,10.85597085,5.47E-05
1485,-6.445765743,,,-0.2298,0.2690,,,0.3474,-6.8268,-0.7904,,0.3078,,8,-112.0820463,240.2322743,10.85959137,5.46E-05
3596,-4.854488061,0.4870,0.8639,,0.1367,,,,,,0.2428,0.3607,0.1829,8,-112.0865862,240.2413542,10.8686712,5.43E-05
364,-4.696006602,0.4893,0.9289,,-0.0763,,0.5764,0.2438,,-0.2666,,,,8,-112.0884346,240.2450509,10.87236796,5.42E-05
316,-4.74312794,0.4847,0.8665,,-0.1336,-0.1838,0.6980,,,-0.0869,,,,8,-112.1263395,240.3208609,10.94817789,5.22E-05
3396,-4.776311121,0.4869,0.9711,,,,,0.5041,,-0.2806,,0.3887,0.1761,8,-112.1295345,240.3272507,10.95456776,5.20E-05
2455,-5.65685621,,0.7519,1.1687,,-0.1286,,,-5.6421,-0.2063,,,0.0887,8,-112.1312623,240.3307064,10.95802339,5.20E-05
1945,-6.310540334,,,,0.2840,0.0316,,,-6.4021,-0.5580,0.1718,0.2869,,8,-112.1411291,240.35044,10.977757,5.14E-05
1738,-6.020062025,0.4730,,,0.2029,,,-0.1337,-5.2480,,0.1896,0.3409,,8,-112.1431009,240.3543835,10.98170055,5.13E-05
304,-5.120747615,0.4749,0.8316,-1.3020,-0.0343,,0.6735,,,-0.1789,,,,8,-112.1439424,240.3560667,10.98338368,5.13E-05
1933,-6.289489848,,,0.1292,0.2739,,,,-6.4615,-0.5449,0.1668,0.2888,,8,-112.1449114,240.3580047,10.98532172,5.12E-05
1383,-5.187526251,,0.8957,-1.5761,,,0.5706,0.3722,,-0.3586,,0.3136,,8,-112.1649128,240.3980075,11.02532451,5.02E-05
3226,-6.048112072,0.4578,,,0.1618,-0.1627,,,-5.4655,,,0.3707,0.1662,8,-112.1661138,240.4004094,11.02772646,5.02E-05
1690,-6.058178369,0.4747,,,0.1644,-0.1110,,,-5.3841,,0.1481,0.3667,,8,-112.180289,240.4287597,11.05607677,4.95E-05
1620,-4.821302164,0.5017,1.0204,,,-0.0672,,0.3412,,,0.1922,0.3959,,8,-112.1804987,240.4291791,11.05649614,4.95E-05
3874,-4.849701036,0.4522,,,,,0.6446,,,-0.4146,0.3226,0.3035,0.1501,8,-112.1885729,240.4453277,11.07264472,4.91E-05
112,-4.984252788,0.4740,0.9866,-1.0383,-0.0193,,0.6052,0.1197,,,,,,8,-112.1923231,240.4528281,11.08014512,4.89E-05
414,-6.255870559,0.4462,,0.0221,0.2672,-0.0169,,,-6.2936,-0.5976,,,,8,-112.1933714,240.4549247,11.0822417,4.88E-05
1608,-4.706554297,0.5023,1.0220,0.3174,,,,0.3153,,,0.2056,0.3873,,8,-112.1958234,240.4598285,11.08714555,4.87E-05
2222,-5.889907399,0.4358,,-0.1764,0.0478,,0.5167,,-5.2869,,,,0.1473,8,-112.2025372,240.4732562,11.10057323,4.84E-05
1678,-5.829382185,0.4749,,0.5704,0.1677,,,,-5.3207,,0.1682,0.3555,,8,-112.2206562,240.5094942,11.13681118,4.75E-05
3148,-4.73710663,0.4819,1.0151,,0.0971,,,0.3456,,,,0.3851,0.1830,8,-112.239595,240.5473719,11.17468891,4.66E-05
1143,-5.040172644,,0.9729,-1.1052,,-0.2001,0.5767,0.2533,,,,0.3293,,8,-112.2519219,240.5720255,11.19934254,4.60E-05
1395,-4.712234417,,0.9258,,,-0.1657,0.4966,0.3707,,-0.2231,,0.3349,,8,-112.2531868,240.5745555,11.20187249,4.60E-05
3156,-4.773249979,0.4848,1.0225,,,-0.1290,,0.3998,,,,0.4046,0.1783,8,-112.2593682,240.5869183,11.21423532,4.57E-05
3730,-6.011850139,0.4623,,,,-0.1597,,,-5.1534,,0.1320,0.3724,0.1506,8,-112.2615369,240.5912556,11.21857263,4.56E-05
1147,-4.705098582,,0.9840,,-0.1117,-0.2571,0.5997,0.2655,,,,0.3328,,8,-112.2729948,240.6141713,11.24148836,4.51E-05
3305,-5.998516622,,,,0.0771,,0.5454,-0.2016,-5.8107,,,0.2700,0.0948,8,-112.2764459,240.6210736,11.24839057,4.49E-05
3274,-5.955318535,0.4531,,,0.1967,,,-0.0761,-5.2611,,,0.3451,0.1682,8,-112.2863189,240.6408197,11.26813673,4.45E-05
3010,-6.109040924,0.4414,,,,,,0.1869,-5.6481,-0.6546,0.1113,,0.1482,8,-112.2909528,240.6500874,11.27740442,4.43E-05
3214,-5.837045875,0.4559,,0.3689,0.1747,,,,-5.3039,,,0.3548,0.1623,8,-112.310845,240.6898718,11.31718881,4.34E-05
3592,-4.737559288,0.4882,0.8589,0.3649,,,,,,,0.2332,0.3604,0.1772,8,-112.3117362,240.6916543,11.31897134,4.34E-05
3187,-4.690906308,,0.9700,,,-0.1919,0.5108,0.2530,,,,0.3321,0.0886,8,-112.3164519,240.7010857,11.32840274,4.32E-05
3844,-4.855336881,0.4864,0.8447,,,,,,,-0.0174,0.2304,0.3598,0.1765,8,-112.327772,240.7237258,11.35104287,4.27E-05
3718,-5.660230466,0.4627,,0.8954,,,,,-5.0722,,0.1602,0.3541,0.1442,8,-112.3281141,240.7244101,11.35172712,4.27E-05
3604,-4.850670854,0.4862,0.8529,,,0.0030,,,,,0.2304,0.3607,0.1762,8,-112.3289597,240.7261013,11.35341833,4.26E-05
3301,-5.992990333,,,-0.1707,,,0.5922,-0.1987,-5.5803,,,0.2656,0.0916,8,-112.3346998,240.7375815,11.36489848,4.24E-05
2950,-5.846279151,0.4463,,0.8050,,,,,-5.5803,-0.5141,0.1439,,0.1518,8,-112.3488445,240.7658708,11.39318779,4.18E-05
3427,-4.67793742,,0.9079,,,,0.4792,0.3233,,-0.2600,,0.3175,0.0848,8,-112.3564488,240.7810795,11.40839651,4.15E-05
1261,-6.08380371,,,-0.3620,0.0821,,0.5508,-0.1893,-5.7058,,,0.2709,,8,-112.3567611,240.7817039,11.40902097,4.15E-05
