"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"502",-5.51237260506753,-0.288956066307364,NA,-1.45531053925561,NA,0.0394935149765805,0.0478125919664999,0.725062195553356,-0.477313844907123,0.450052724256222,NA,9,-128.404553195215,274.877913729879,3.98693235754058,0.00510793556487558
"495",-5.62778516405633,NA,0.309703534025561,-1.48551958355294,0.314372018391835,NA,0.189102114823871,0.743751497643811,-0.491605088517837,0.38815013308329,NA,9,-128.472172299302,275.013151938054,4.12217056571609,0.00477396033555642
"975",-5.63088365419291,NA,0.301117805483499,-1.43748210346625,0.289227411751128,NA,NA,0.716536641335913,-0.489066341715126,0.395560605592449,0.0591171989354067,9,-128.51605914319,275.10092562583,4.20994425349141,0.00456897721437882
"341",-5.37970105812667,NA,NA,-1.43645503644832,NA,0.156061033736716,NA,0.650733748246963,NA,0.449902602960601,NA,6,-131.546487625713,275.12504856185,4.23406718951168,0.00451419965484008
"80",-5.76543270102233,-0.300832705620108,0.456496372873012,-1.47947679871085,0.514355786272802,NA,NA,0.79260732300588,NA,NA,NA,7,-130.548628876905,275.140038502473,4.24905713013476,0.00448049233790758
"504",-5.62073134082595,-0.285616923376051,0.254506460358024,-1.53367921335433,NA,0.0472278226859086,0.0551733376229644,0.812706486501262,-0.509097597468372,0.429520840904729,NA,10,-127.550383932023,275.184897883166,4.29391651082761,0.00438111495047018
"479",-5.63702033522155,NA,0.305397501575939,-1.45640588494675,0.293776626065595,0.00934667418964464,NA,0.716589242872138,-0.487205662382342,0.389029355009502,NA,9,-128.566395297043,275.201597933535,4.31061656119721,0.00434468483814155
"1008",-5.67866974158358,-0.341796768723911,0.310146388854729,-1.51690531766374,0.294388968262306,NA,0.175536599934329,0.711426995422367,-0.496822360423545,0.385707417684828,-0.153215453277205,11,-126.584142723877,275.269280091977,4.37829871963885,0.00420011599384876
"854",-5.4219993330165,-0.336023404255353,NA,-1.43771340081762,NA,0.15842969837433,NA,0.601006966589977,NA,0.449037898276975,-0.0994763587128602,8,-129.609444306327,275.273913450254,4.38293207791588,0.00419039693506368
"206",-5.43793376710934,-0.278287977637951,NA,-1.4359252279584,0.24581343879567,NA,NA,0.364339733207173,-0.473997929436268,NA,NA,7,-130.645316343965,275.333413436593,4.442432064255,0.00406756878229889
"837",-5.33140893270712,NA,NA,-1.32453037318761,NA,NA,NA,0.735630664870826,NA,0.446458636110717,0.0994159458913045,6,-131.66482459738,275.361722505184,4.47074113284583,0.0040103997951502
"286",-5.42822908069716,-0.305944298049537,NA,-1.42038009916779,0.376489129533542,0.319891422167783,NA,NA,NA,0.347005981363973,NA,7,-130.66621858491,275.375217918483,4.48423654614487,0.00398342988862574
"973",-5.50576226900047,NA,NA,-1.38304690446406,0.220125266645693,NA,NA,0.652966556368414,-0.45554845821004,0.426755338441159,0.0775992498773808,8,-129.664342384217,275.383709606035,4.49272823369665,0.00396655272188708
"493",-5.49728286384576,NA,NA,-1.42080011256883,0.243946508889075,NA,0.163053994344147,0.676232180207026,-0.457586879353881,0.416637540003825,NA,8,-129.684434507993,275.423893853587,4.53291248124873,0.0038876515539566
"992",-5.68414535160048,-0.342950156692419,0.305695775786355,-1.48025989735453,0.27782670695986,-0.00924123168590916,NA,0.694930880421846,-0.50070835890103,0.384751032075373,-0.151179480774272,11,-126.66275568897,275.426506022164,4.53552464982556,0.00388257726778719
"720",-5.84539854969757,-0.368370149546914,0.46775384540972,-1.5996217219239,0.44138147187188,NA,NA,0.757003766750593,-0.506942058306891,NA,-0.166853631739297,9,-128.684341286413,275.437489912275,4.54650853993718,0.00386131281181671
"374",-5.41275642285385,-0.288718644296575,NA,-1.43136208680098,NA,0.167555121389149,0.0342396643304464,0.597213895008639,NA,0.457449807392552,NA,8,-129.696612864693,275.448250566986,4.55726919464752,0.00384059347326223
"398",-5.41161560751441,-0.315801478585346,NA,-1.292625352935,0.50733414173859,NA,NA,NA,-0.382828514012194,0.254343681161476,NA,7,-130.752335831599,275.547452411862,4.65647103952398,0.00365474375454505
"142",-5.36585829932124,-0.303317544844257,NA,-1.3305063954583,0.449048281974509,NA,NA,NA,-0.429049270052271,NA,NA,6,-131.758204094711,275.548481499846,4.65750012750766,0.00365286371182825
"477",-5.51198583262187,NA,NA,-1.40377725447271,0.225863673442597,0.00663586082877849,NA,0.657019453309194,-0.455118084755587,0.418470586179444,NA,8,-129.752087911377,275.559200660354,4.66821928801608,0.00363333826644197
"270",-5.31966464192658,-0.314701558217869,NA,-1.22135944021223,0.499523861097951,NA,NA,NA,NA,0.279965049382196,NA,6,-131.788755609027,275.609584528478,4.71860315614015,0.00354295074682127
"512",-5.82819299412459,-0.291294170281499,0.391182532999433,-1.54275424201722,0.374127265530608,0.0387107196886413,0.175531094762117,0.883042682669459,-0.479642892456426,0.388806754042382,NA,11,-126.758115708975,275.617226062174,4.72624468983628,0.00352943978561619
"712",-5.57744906792709,-0.367307157716662,0.303174631792051,-1.63213782768387,NA,NA,NA,0.657111607782332,-0.548740148298322,NA,-0.1869918950295,8,-129.791886455709,275.638797749018,4.7478163766803,0.00349157636226651
"357",-5.32869305521212,NA,NA,-1.35028693672216,NA,NA,0.0421836400849501,0.755456197084583,NA,0.435983102655018,NA,6,-131.807486492723,275.647046295869,4.7560649235308,0.00347720580109498
"1006",-5.54238866564732,-0.34119365481177,NA,-1.4398039059732,0.223157726394178,NA,0.145514747470323,0.638436305331294,-0.464750644363345,0.415894964824947,-0.135399544294504,10,-127.781802464232,275.647734947584,4.75675357524551,0.00347600871533194
"343",-5.46532798468851,NA,0.230366028343198,-1.49101126307817,NA,0.165141377506291,NA,0.724135614044902,NA,0.434634058595526,NA,7,-130.814814348159,275.672409444981,4.78142807264288,0.00343338778444562
"207",-5.72345148083016,NA,0.427622175594475,-1.55219423954903,0.424956681389301,NA,NA,0.684092099423953,-0.504413640018758,NA,NA,7,-130.817107218688,275.676995186039,4.78601381370083,0.00342552448898428
"990",-5.55343723857253,-0.342406798103943,NA,-1.41725126772719,0.20949311618314,-0.00964001862951734,NA,0.628677293433567,-0.469308534918787,0.416091578390697,-0.134483633682174,10,-127.83468386281,275.75349774474,4.86251637240161,0.00329696819076347
"240",-5.8677692754013,-0.296593838520316,0.4858865627662,-1.61814093397882,0.482550114734343,NA,0.183573803586877,0.827336334550534,-0.507772204769639,NA,NA,9,-128.850581295961,275.769969931372,4.87898855903416,0.0032699255687284
"870",-5.37091791004431,-0.339638482575862,NA,-1.35312639984049,NA,NA,0.0334865714189087,0.704943525903992,NA,0.432687714104666,-0.114682257784634,8,-129.87109356095,275.7972119595,4.90623058716147,0.0032256878319447
"856",-5.5132043464467,-0.339349822869848,0.231939882837807,-1.5005377207359,NA,0.167858515823394,NA,0.677836153970701,NA,0.432296963656576,-0.112639259356456,9,-128.879871859175,275.828551057799,4.9375696854612,0.00317553670682943
"144",-5.48814413180076,-0.298849718748031,0.244052266634279,-1.38309069354886,0.556738799162866,NA,NA,NA,-0.439087298451381,NA,NA,7,-130.923085333357,275.888951415377,4.99797004303844,0.00308106858744876
"70",-5.28052001110566,-0.287702092126558,NA,-1.40240155133087,NA,NA,NA,0.480726703395692,NA,NA,NA,5,-132.950428176634,275.923757116626,5.03277574428819,0.00302791308126947
"351",-5.53797636896077,NA,0.282234481364708,-1.44544039691993,0.29627246658902,0.146345418648183,NA,0.577768132485154,NA,0.402325438823128,NA,8,-129.935749943494,275.926524724588,5.03554335224953,0.00302372594085343
"199",-5.51587213721239,NA,0.30030148284787,-1.59341999226274,NA,NA,NA,0.691641492222273,-0.543691120492917,NA,NA,6,-131.947541680186,275.927156670796,5.03617529845775,0.00302277067570892
"224",-5.86180048716179,-0.297998484665453,0.475202363475148,-1.5752799383457,0.459750749202858,-0.0124146743599632,NA,0.792317613171465,-0.511743150529268,NA,NA,9,-128.933302821837,275.935412983123,5.04443161078461,0.00301031792744274
"710",-5.42858094046323,-0.365593092101928,NA,-1.52200669361599,NA,NA,NA,0.531958812729523,-0.511058348819803,NA,-0.168945216197529,7,-130.971636092297,275.986052933257,5.09507156091877,0.0029350536187456
