"","(Intercept)","aspect","bldg","dforcore","dfresh","dmarine","elev","pfor","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"3995",0,NA,4.20681095469896,NA,3.22389527724566,0.388302981355134,NA,NA,-61.8568285708291,-2.221395878673,2.55680732204621,2.59778220631981,0.819920306745023,10,-110.284930738688,240.67412688022,11.3014439003732,4.37536705736719e-05
"2876",0,5.1512074172069,5.2591724300272,NA,-1.08779107749348,-0.599085884504728,6.08040953914865,NA,NA,-1.36120459603035,4.09389897824979,NA,1.51166241052813,10,-110.292230286344,240.688725975531,11.316042995684,4.34354514111718e-05
"3214",0,4.71375839935848,NA,0.419183575234784,1.93813016714966,NA,NA,NA,-55.5117611681559,NA,NA,3.24248304586626,1.64112945757508,8,-112.310844985929,240.68987179004,11.3171888101932,4.34105740528411e-05
"2002",0,4.88561927531155,NA,NA,NA,-0.963551406543292,NA,2.9656368639556,-62.8803185756471,-4.91322702837391,1.25038116074529,3.27655654296048,NA,9,-111.302988572092,240.69124478985,11.3185618100033,4.33807829248505e-05
"3592",0,5.04733585337488,4.80891758944799,0.414651063117049,NA,NA,NA,NA,NA,NA,2.55260503609261,3.29369394921482,1.79162562140642,8,-112.3117362499,240.691654317981,11.3189713381339,4.33719010087625e-05
"1859",0,NA,5.31135862190577,NA,NA,NA,NA,3.73763109191475,NA,-1.88851519275309,1.94640482441769,3.31951664509182,NA,7,-113.319358405402,240.691722016672,11.3190390368249,4.33704329231473e-05
"4042",0,4.8200737006109,NA,NA,3.12337807086489,NA,NA,2.39647474516899,-69.4407724785333,-5.72124617160965,1.66193438052979,3.15990071444974,1.71520818429612,10,-110.294785691345,240.693836785533,11.321153805686,4.33245979394976e-05
"3187",0,NA,5.43057737430281,NA,NA,-1.61009221961286,3.74940901311825,2.18038820458,NA,NA,NA,3.03496536647919,0.895571832277398,8,-112.316451948492,240.701085715165,11.3284027353178,4.31678536872084e-05
"1291",0,NA,4.36724094068748,NA,1.21674027285546,NA,NA,NA,NA,0.0847684636134367,NA,2.86199608466492,NA,6,-114.330969145067,240.701673389472,11.3289904096248,4.31551712313388e-05
"2272",0,4.77378230353356,5.72145527063438,1.04121249753489,1.80586468435931,-1.26578989080489,NA,1.97782033211752,-56.3709207721728,NA,NA,NA,1.69613085925727,10,-110.298732770318,240.701730943479,11.3290479636318,4.31539293726923e-05
"1051",0,NA,4.32915684884518,NA,1.19476148644888,-0.0736345372647274,NA,NA,NA,NA,NA,2.86036863638915,NA,6,-114.331012004982,240.701759109303,11.3290761294556,4.3153321643986e-05
"1065",0,NA,NA,NA,-0.358332635356358,NA,3.43023575159978,NA,NA,NA,NA,2.83987035765603,NA,5,-115.338657351152,240.70568349663,11.3330005167829,4.30687294899279e-05
"2779",0,NA,5.64697525332361,NA,2.39702062267661,-0.49525295234974,NA,1.31211074004977,-55.5863163578622,NA,2.01607562493679,NA,0.593534282947063,9,-111.310631228909,240.706530103483,11.333847123636,4.30505022072657e-05
"2924",0,5.15663631717267,5.37094269164528,NA,-0.855775036279411,NA,5.79487526731856,0.662305405193083,NA,-1.86644819251051,4.09489064346573,NA,1.4945339718619,10,-110.301985735628,240.7082368741,11.3355538942525,4.30137792128294e-05
"1088",0,5.00287281434237,4.76269533493889,-1.01533851169322,-0.982207911478028,-1.74998948268039,5.08910805138036,NA,NA,NA,NA,2.79834332266134,NA,9,-111.311856109519,240.708979864704,11.3362968848565,4.29978027637026e-05
"111",0,NA,5.35454208650632,-1.27702547043097,-0.111674045224398,NA,4.37040827191105,0.918326496824198,NA,NA,NA,NA,NA,7,-113.329120490578,240.711246187024,11.338563207177,4.29491069189639e-05
"1136",0,4.98080357411997,5.57892942079396,-1.11785388784392,-0.0565736900984923,NA,3.98209648987149,1.89929611109121,NA,NA,NA,2.97837028282898,NA,9,-111.315782860525,240.716833366716,11.3441503868693,4.28292921645362e-05
"3769",0,NA,NA,NA,-0.182027012448297,-2.44570882742923,4.9296814788716,NA,-63.6803204969757,NA,2.48271320184536,2.91017141866626,0.630578398429714,9,-111.318116458048,240.721500561762,11.3488175819149,4.27294623610332e-05
"3765",0,NA,NA,0.171857783035968,NA,-2.40075858941681,4.81739898369437,NA,-64.3889599252237,NA,2.48627668664659,2.91732818438696,0.639287181570649,9,-111.318262557853,240.721792761371,11.3491097815242,4.272322005094e-05
"836",0,5.00581979920534,5.40549050296029,NA,NA,NA,NA,2.85054256618504,NA,-1.76295775078812,1.95404230018633,NA,NA,7,-113.334531574283,240.722068354434,11.3493853745869,4.27173333450009e-05
"2355",0,NA,4.69420076979855,NA,NA,-0.899113034224207,4.17817047096276,NA,NA,-0.518916575738065,NA,NA,0.9633781702057,7,-113.335295870013,240.723596945894,11.3509139660468,4.26846971429758e-05
"3844",0,5.02881902853812,4.72925537383035,NA,NA,NA,NA,NA,NA,-0.130477810311928,2.52298458200184,3.28805863295669,1.78391497506117,8,-112.327772015569,240.72372584932,11.3510428694734,4.26819461297674e-05
"3718",0,4.78367789859303,NA,1.01741102618883,NA,NA,NA,NA,-53.0869775314853,NA,1.75393599157597,3.23623958783395,1.45759202234976,8,-112.328114141829,240.72441010184,11.3517271219932,4.26673460128565e-05
"3604",0,5.02671631077223,4.77511341744681,NA,NA,0.025572313427941,NA,NA,NA,NA,2.52287087632218,3.29584336743369,1.78103556821338,8,-112.328959747504,240.72610131319,11.3534183333433,4.26312815132503e-05
"1611",0,NA,5.53874792327507,NA,1.28402627976035,NA,NA,2.3726060126935,NA,NA,2.16274294925745,3.27601697962696,NA,7,-113.337672224332,240.728349654531,11.3556666746844,4.25833836046814e-05
"1537",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5413951960474,3.15739753598273,NA,4,-116.354979218662,240.728862029006,11.3561790491592,4.25724756825716e-05
"1300",0,4.93201973415112,4.36413112167925,NA,NA,-0.469456301299833,NA,NA,NA,0.210377814639873,NA,3.08914828161938,NA,7,-113.339196810396,240.73139882666,11.3587158468129,4.25185110359425e-05
"1578",0,4.68768860220178,NA,NA,-0.431510631423963,NA,4.18045927186285,NA,NA,NA,2.98592837946023,2.95195920995854,NA,7,-113.339366411185,240.731738028239,11.3590550483921,4.25113004743737e-05
"588",0,4.94797592953557,5.63625236887636,NA,1.26497172865718,NA,NA,1.62053563290785,NA,NA,2.16629820576005,NA,NA,7,-113.339366792272,240.731738790412,11.3590558105653,4.25112842738895e-05
