"","spp","samples","var","scale","AICc","delta"
"pgra330","epfu","80","pgra","330",283.666719089631,0
"pgra300","epfu","80","pgra","300",283.672441209923,0.0057
"pgra210","epfu","80","pgra","210",283.884503356291,0.2178
"pgra240","epfu","80","pgra","240",283.894268747236,0.2275
"pgra360","epfu","80","pgra","360",283.980637763365,0.3139
"pgra270","epfu","80","pgra","270",283.986889821482,0.3202
"pgra180","epfu","80","pgra","180",284.121980086484,0.4553
"pgra150","epfu","80","pgra","150",284.534798431462,0.8681
"pgra060","epfu","80","pgra","060",285.273047482623,1.6063
"pgra120","epfu","80","pgra","120",285.309953150184,1.6432
"pgra090","epfu","80","pgra","090",285.527565857681,1.8608
