"","spp","samples","var","scale","AICc","delta"
"pdev360","myse","1","pdev","360",64.146916566396,0
"pdev330","myse","1","pdev","330",64.2646569498251,0.1177
"pdev300","myse","1","pdev","300",64.3486804503801,0.2018
"pdev270","myse","1","pdev","270",64.5383208694579,0.3914
"pdev060","myse","1","pdev","060",64.5934067496519,0.4465
"pdev240","myse","1","pdev","240",64.7319724465658,0.5851
"pdev150","myse","1","pdev","150",64.7949619105008,0.648
"pdev090","myse","1","pdev","090",64.8058832305625,0.659
"pdev180","myse","1","pdev","180",64.8276469361132,0.6807
"pdev210","myse","1","pdev","210",64.8437086809372,0.6968
"pdev120","myse","1","pdev","120",64.8504845715777,0.7036
