"","spp","samples","var","scale","AICc","delta"
"pdev360","epfu","80","pdev","360",283.980166776993,0
"pdev330","epfu","80","pdev","330",284.199672279539,0.2195
"pdev300","epfu","80","pdev","300",284.485804839404,0.5056
"pdev270","epfu","80","pdev","270",284.850493024327,0.8703
"pdev240","epfu","80","pdev","240",285.146103519532,1.1659
"pdev210","epfu","80","pdev","210",285.556636302919,1.5765
"pdev180","epfu","80","pdev","180",285.79174240134,1.8116
"pdev150","epfu","80","pdev","150",285.994028352428,2.0139
"pdev120","epfu","80","pdev","120",286.166626235159,2.1865
"pdev060","epfu","80","pdev","060",286.198911621736,2.2187
"pdev090","epfu","80","pdev","090",286.199551637797,2.2194
