"","spp","samples","var","scale","AICc","delta"
"pgra060","myse","30","pgra","060",186.570818908898,0
"pgra090","myse","30","pgra","090",186.590946597538,0.0201
"pgra120","myse","30","pgra","120",187.32369735844,0.7529
"pgra150","myse","30","pgra","150",187.559768093265,0.9889
"pgra180","myse","30","pgra","180",188.047552464357,1.4767
"pgra210","myse","30","pgra","210",188.981725627204,2.4109
"pgra240","myse","30","pgra","240",189.411810867171,2.841
"pgra270","myse","30","pgra","270",189.798873492202,3.2281
"pgra300","myse","30","pgra","300",190.424251499234,3.8534
"pgra330","myse","30","pgra","330",191.114827557982,4.544
"pgra360","myse","30","pgra","360",191.48286582143,4.912
