"","spp","samples","var","scale","AICc","delta"
"bldg060","myse","60","bldg","060",214.768949237749,0
"bldg090","myse","60","bldg","090",218.599079181975,3.8301
"bldg120","myse","60","bldg","120",219.266605069195,4.4977
"bldg330","myse","60","bldg","330",219.448045614371,4.6791
"bldg360","myse","60","bldg","360",219.504286437616,4.7353
"bldg150","myse","60","bldg","150",219.641752213719,4.8728
"bldg300","myse","60","bldg","300",219.712125996181,4.9432
"bldg270","myse","60","bldg","270",220.074722881402,5.3058
"bldg180","myse","60","bldg","180",220.191034300833,5.4221
"bldg240","myse","60","bldg","240",220.258121999838,5.4892
"bldg210","myse","60","bldg","210",220.328905649455,5.56
