"","spp","samples","var","scale","AICc","delta"
"pdev150","myse","90","pdev","150",237.088396663776,0
"pdev120","myse","90","pdev","120",237.12268167299,0.0343
"pdev180","myse","90","pdev","180",237.163650295203,0.0753
"pdev090","myse","90","pdev","090",237.193476808155,0.1051
"pdev270","myse","90","pdev","270",237.194796397255,0.1064
"pdev300","myse","90","pdev","300",237.196057540336,0.1077
"pdev330","myse","90","pdev","330",237.204585192112,0.1162
"pdev060","myse","90","pdev","060",237.210479892997,0.1221
"pdev360","myse","90","pdev","360",237.217801035529,0.1294
"pdev240","myse","90","pdev","240",237.224465997344,0.1361
"pdev210","myse","90","pdev","210",237.232066264094,0.1437
