"","spp","samples","var","scale","AICc","delta"
"road180","epfu","90","road","180",290.277378835246,0
"road360","epfu","90","road","360",291.389136954735,1.1118
"road330","epfu","90","road","330",291.581103235908,1.3037
"road120","epfu","90","road","120",291.692441622104,1.4151
"road210","epfu","90","road","210",291.743643772643,1.4663
"road150","epfu","90","road","150",291.804738418965,1.5274
"road060","epfu","90","road","060",292.106324562512,1.8289
"road300","epfu","90","road","300",292.120460441452,1.8431
"road090","epfu","90","road","090",292.16129490862,1.8839
"road270","epfu","90","road","270",292.27143586902,1.9941
"road240","epfu","90","road","240",292.272938663357,1.9956
