"","spp","samples","var","scale","AICc","delta"
"pdev360","epfu","30","pdev","360",233.564470738821,0
"pdev330","epfu","30","pdev","330",233.786656882075,0.2222
"pdev300","epfu","30","pdev","300",234.075941228062,0.5115
"pdev270","epfu","30","pdev","270",234.448489025212,0.884
"pdev240","epfu","30","pdev","240",234.75373122398,1.1893
"pdev210","epfu","30","pdev","210",235.180958839683,1.6165
"pdev180","epfu","30","pdev","180",235.421014863745,1.8565
"pdev150","epfu","30","pdev","150",235.610621403619,2.0462
"pdev060","epfu","30","pdev","060",235.723532269501,2.1591
"pdev120","epfu","30","pdev","120",235.741152810231,2.1767
"pdev090","epfu","30","pdev","090",235.742923168613,2.1785
