"","spp","samples","var","scale","AICc","delta","df"
"bldg060","myse","100","bldg","060",236.660209146957,0,3
"bldg090","myse","100","bldg","090",240.177353514995,3.5171,3
"bldg120","myse","100","bldg","120",240.711949766937,4.0517,3
"bldg330","myse","100","bldg","330",240.756758729618,4.0965,3
"bldg360","myse","100","bldg","360",240.836852228746,4.1766,3
"bldg300","myse","100","bldg","300",241.013319463095,4.3531,3
"bldg150","myse","100","bldg","150",241.01832459185,4.3581,3
"bldg270","myse","100","bldg","270",241.378429608105,4.7182,3
"bldg180","myse","100","bldg","180",241.511785412135,4.8516,3
"bldg240","myse","100","bldg","240",241.56493322665,4.9047,3
"bldg210","myse","100","bldg","210",241.637524297954,4.9773,3
