"","spp","samples","var","scale","AICc","delta"
"pfor150","myse","10","pfor","150",146.601708752173,0
"pfor120","myse","10","pfor","120",146.656074909723,0.0544
"pfor180","myse","10","pfor","180",146.753247023281,0.1515
"pfor360","myse","10","pfor","360",146.781696102271,0.18
"pfor090","myse","10","pfor","090",146.793045559533,0.1913
"pfor060","myse","10","pfor","060",146.804827081011,0.2031
"pfor270","myse","10","pfor","270",146.823861003994,0.2222
"pfor240","myse","10","pfor","240",146.835746173672,0.234
"pfor330","myse","10","pfor","330",146.839005793557,0.2373
"pfor210","myse","10","pfor","210",146.843914434965,0.2422
"pfor300","myse","10","pfor","300",146.844642695372,0.2429
