"","spp","samples","var","scale","AICc","delta"
"pwet060","epfu","80","pwet","060",285.044264298416,0
"pwet090","epfu","80","pwet","090",285.242833171676,0.1986
"pwet120","epfu","80","pwet","120",285.580113542411,0.5358
"pwet300","epfu","80","pwet","300",286.088366981354,1.0441
"pwet270","epfu","80","pwet","270",286.09178880537,1.0475
"pwet240","epfu","80","pwet","240",286.114499224717,1.0702
"pwet150","epfu","80","pwet","150",286.11883999416,1.0746
"pwet330","epfu","80","pwet","330",286.118879530891,1.0746
"pwet360","epfu","80","pwet","360",286.143690798005,1.0994
"pwet210","epfu","80","pwet","210",286.153217311533,1.109
"pwet180","epfu","80","pwet","180",286.198508288601,1.1542
