"","spp","samples","var","scale","AICc","delta"
"pgra300","epfu","50","pgra","300",259.577770685672,0
"pgra330","epfu","50","pgra","330",259.608223931944,0.0305
"pgra210","epfu","50","pgra","210",259.646198085054,0.0684
"pgra240","epfu","50","pgra","240",259.699507454667,0.1217
"pgra180","epfu","50","pgra","180",259.821914154779,0.2441
"pgra270","epfu","50","pgra","270",259.843676228154,0.2659
"pgra360","epfu","50","pgra","360",259.934629683433,0.3569
"pgra150","epfu","50","pgra","150",260.175514525745,0.5977
"pgra060","epfu","50","pgra","060",260.916564754353,1.3388
"pgra120","epfu","50","pgra","120",260.934068715041,1.3563
"pgra090","epfu","50","pgra","090",261.182783726227,1.605
