"","spp","samples","var","scale","AICc","delta","df"
"bldg060","myse","30","bldg","060",185.5244804023,0,3
"bldg090","myse","30","bldg","090",189.834428617464,4.3099,3
"bldg330","myse","30","bldg","330",190.421853163396,4.8974,3
"bldg120","myse","30","bldg","120",190.462710360997,4.9382,3
"bldg360","myse","30","bldg","360",190.493822246952,4.9693,3
"bldg300","myse","30","bldg","300",190.778537171971,5.2541,3
"bldg150","myse","30","bldg","150",190.949488458458,5.425,3
"bldg270","myse","30","bldg","270",191.212590006591,5.6881,3
"bldg240","myse","30","bldg","240",191.456747719686,5.9323,3
"bldg180","myse","30","bldg","180",191.459619590314,5.9351,3
"bldg210","myse","30","bldg","210",191.577057102258,6.0526,3
