"","spp","samples","var","scale","AICc","delta"
"pdev150","myse","60","pdev","150",220.158522940314,0
"pdev120","myse","60","pdev","120",220.194045864548,0.0355
"pdev180","myse","60","pdev","180",220.240251486752,0.0817
"pdev090","myse","60","pdev","090",220.27347502118,0.115
"pdev270","myse","60","pdev","270",220.300699022853,0.1422
"pdev300","myse","60","pdev","300",220.301146756822,0.1426
"pdev330","myse","60","pdev","330",220.307488169164,0.149
"pdev060","myse","60","pdev","060",220.308442388654,0.1499
"pdev360","myse","60","pdev","360",220.317797895811,0.1593
"pdev210","myse","60","pdev","210",220.319711683396,0.1612
"pdev240","myse","60","pdev","240",220.322918711463,0.1644
