"","spp","samples","var","scale","AICc","delta"
"pwet360","myse","30","pwet","360",191.043462375735,0
"pwet330","myse","30","pwet","330",191.051824367893,0.0084
"pwet300","myse","30","pwet","300",191.097145423453,0.0537
"pwet270","myse","30","pwet","270",191.259167069136,0.2157
"pwet240","myse","30","pwet","240",191.463922133055,0.4205
"pwet120","myse","30","pwet","120",191.552324166952,0.5089
"pwet150","myse","30","pwet","150",191.556893325098,0.5134
"pwet090","myse","30","pwet","090",191.560721077452,0.5173
"pwet060","myse","30","pwet","060",191.56374697395,0.5203
"pwet210","myse","30","pwet","210",191.566609129395,0.5231
"pwet180","myse","30","pwet","180",191.573798114496,0.5303
