"","spp","samples","var","scale","AICc","delta"
"pfor150","myse","100","pfor","150",241.423456771605,0
"pfor120","myse","100","pfor","120",241.464005221703,0.0405
"pfor180","myse","100","pfor","180",241.551330605147,0.1279
"pfor360","myse","100","pfor","360",241.580275042964,0.1568
"pfor090","myse","100","pfor","090",241.586632035686,0.1632
"pfor060","myse","100","pfor","060",241.590812058146,0.1674
"pfor270","myse","100","pfor","270",241.611119444302,0.1877
"pfor240","myse","100","pfor","240",241.627611255823,0.2042
"pfor210","myse","100","pfor","210",241.631050419378,0.2076
"pfor330","myse","100","pfor","330",241.63208636536,0.2086
"pfor300","myse","100","pfor","300",241.633286179263,0.2098
