"","spp","samples","var","scale","AICc","delta"
"road090","myse","40","road","090",201.450514668708,0
"road270","myse","40","road","270",202.428796248467,0.9783
"road150","myse","40","road","150",202.766604639074,1.3161
"road210","myse","40","road","210",202.979400348048,1.5289
"road300","myse","40","road","300",203.025611925902,1.5751
"road360","myse","40","road","360",203.180038951719,1.7295
"road240","myse","40","road","240",203.237864795362,1.7874
"road180","myse","40","road","180",203.259723897796,1.8092
"road120","myse","40","road","120",203.366426916954,1.9159
"road330","myse","40","road","330",203.405266422533,1.9548
"road060","myse","40","road","060",203.436693910976,1.9862
