"","spp","samples","var","scale","AICc","delta"
"pgra300","epfu","20","pgra","300",212.837888951549,0
"pgra330","epfu","20","pgra","330",212.887992308499,0.0501
"pgra240","epfu","20","pgra","240",212.935027138444,0.0971
"pgra210","epfu","20","pgra","210",212.953762696979,0.1159
"pgra270","epfu","20","pgra","270",213.066953642873,0.2291
"pgra180","epfu","20","pgra","180",213.192654727434,0.3548
"pgra360","epfu","20","pgra","360",213.208121472543,0.3702
"pgra150","epfu","20","pgra","150",213.590692254354,0.7528
"pgra060","epfu","20","pgra","060",214.006449544329,1.1686
"pgra120","epfu","20","pgra","120",214.266276655324,1.4284
"pgra090","epfu","20","pgra","090",214.390395894014,1.5525
