"","spp","samples","var","scale","AICc","delta"
"pfor360","epfu","10","pfor","360",177.668681446358,0
"pfor330","epfu","10","pfor","330",177.927879441961,0.2592
"pfor300","epfu","10","pfor","300",178.261476479292,0.5928
"pfor270","epfu","10","pfor","270",178.556228168309,0.8875
"pfor240","epfu","10","pfor","240",178.794946768039,1.1263
"pfor210","epfu","10","pfor","210",179.226675450668,1.558
"pfor180","epfu","10","pfor","180",179.524028670611,1.8553
"pfor150","epfu","10","pfor","150",179.859040436246,2.1904
"pfor120","epfu","10","pfor","120",180.244651187101,2.576
"pfor060","epfu","10","pfor","060",180.324002051339,2.6553
"pfor090","epfu","10","pfor","090",180.336021995746,2.6673
