"","spp","samples","var","scale","AICc","delta"
"bldg060","myse","40","bldg","060",197.32558362187,0
"bldg090","myse","40","bldg","090",201.570622101925,4.245
"bldg120","myse","40","bldg","120",202.140195926124,4.8146
"bldg330","myse","40","bldg","330",202.528122391694,5.2025
"bldg360","myse","40","bldg","360",202.594896379116,5.2693
"bldg150","myse","40","bldg","150",202.655557783979,5.33
"bldg300","myse","40","bldg","300",202.837652902827,5.5121
"bldg270","myse","40","bldg","270",203.21645718712,5.8909
"bldg180","myse","40","bldg","180",203.284033639391,5.9585
"bldg240","myse","40","bldg","240",203.410806316391,6.0852
"bldg210","myse","40","bldg","210",203.478684972828,6.1531
