"","spp","samples","var","scale","AICc","delta","df"
"road090","myse","60","road","090",218.118418241768,0,3
"road270","myse","60","road","270",219.459528560016,1.3411,3
"road150","myse","60","road","150",219.859861087423,1.7414,3
"road300","myse","60","road","300",219.992124930406,1.8737,3
"road210","myse","60","road","210",219.998782241786,1.8804,3
"road360","myse","60","road","360",220.086372452776,1.968,3
"road240","myse","60","road","240",220.141948943759,2.0235,3
"road120","myse","60","road","120",220.220907219594,2.1025,3
"road180","myse","60","road","180",220.264325765637,2.1459,3
"road330","myse","60","road","330",220.276344769727,2.1579,3
"road060","myse","60","road","060",220.307330828566,2.1889,3
