"","spp","samples","var","scale","AICc","delta","df"
"pfor360","epfu","100","pfor","360",294.834540096172,0,3
"pfor330","epfu","100","pfor","330",295.059384280191,0.2248,3
"pfor300","epfu","100","pfor","300",295.374664276868,0.5401,3
"pfor270","epfu","100","pfor","270",295.682731991903,0.8482,3
"pfor240","epfu","100","pfor","240",295.933848982301,1.0993,3
"pfor210","epfu","100","pfor","210",296.36525776184,1.5307,3
"pfor180","epfu","100","pfor","180",296.677883990169,1.8433,3
"pfor150","epfu","100","pfor","150",297.077646197014,2.2431,3
"pfor120","epfu","100","pfor","120",297.550569620773,2.716,3
"pfor090","epfu","100","pfor","090",297.707074615216,2.8725,3
"pfor060","epfu","100","pfor","060",297.736123650117,2.9016,3
