"","spp","samples","var","scale","AICc","delta"
"pgra300","epfu","100","pgra","300",295.125631501459,0
"pgra330","epfu","100","pgra","330",295.147077324212,0.0214
"pgra210","epfu","100","pgra","210",295.224300897477,0.0987
"pgra240","epfu","100","pgra","240",295.277568273323,0.1519
"pgra270","epfu","100","pgra","270",295.412622356022,0.287
"pgra180","epfu","100","pgra","180",295.453791270171,0.3282
"pgra360","epfu","100","pgra","360",295.488815690139,0.3632
"pgra150","epfu","100","pgra","150",295.859738749566,0.7341
"pgra060","epfu","100","pgra","060",296.678820330011,1.5532
"pgra120","epfu","100","pgra","120",296.686134286743,1.5605
"pgra090","epfu","100","pgra","090",296.927794211645,1.8022
