"","spp","samples","var","scale","AICc","delta","df"
"pwet300","myse","1","pwet","300",63.4420347347475,0,3
"pwet330","myse","1","pwet","330",63.4986713083717,0.0566,3
"pwet360","myse","1","pwet","360",63.6068416558145,0.1648,3
"pwet270","myse","1","pwet","270",63.7165797280134,0.2745,3
"pwet240","myse","1","pwet","240",64.1788729706999,0.7368,3
"pwet210","myse","1","pwet","210",64.5728477598949,1.1308,3
"pwet060","myse","1","pwet","060",64.7840084758884,1.342,3
"pwet180","myse","1","pwet","180",64.8096658832859,1.3676,3
"pwet090","myse","1","pwet","090",64.8192837290952,1.3772,3
"pwet120","myse","1","pwet","120",64.8414090010184,1.3994,3
"pwet150","myse","1","pwet","150",64.8559372809241,1.4139,3
