"","spp","samples","var","scale","AICc","delta","df"
"pfor360","epfu","1","pfor","360",74.5601022813677,0,3
"pfor330","epfu","1","pfor","330",74.7497697429387,0.1897,3
"pfor300","epfu","1","pfor","300",75.0988469432445,0.5387,3
"pfor270","epfu","1","pfor","270",75.309656953669,0.7496,3
"pfor240","epfu","1","pfor","240",75.4719533979894,0.9119,3
"pfor210","epfu","1","pfor","210",75.8515934460256,1.2915,3
"pfor180","epfu","1","pfor","180",76.1569776976656,1.5969,3
"pfor150","epfu","1","pfor","150",76.5710085162589,2.0109,3
"pfor120","epfu","1","pfor","120",77.1891929318017,2.6291,3
"pfor060","epfu","1","pfor","060",77.2723280231452,2.7122,3
"pfor090","epfu","1","pfor","090",77.4290523283603,2.869,3
