"","spp","samples","var","scale","AICc","delta"
"pfor150","myse","80","pfor","150",232.120142451046,0
"pfor120","myse","80","pfor","120",232.148393617871,0.0283
"pfor180","myse","80","pfor","180",232.247721850003,0.1276
"pfor090","myse","80","pfor","090",232.263596602113,0.1435
"pfor270","myse","80","pfor","270",232.277094506827,0.157
"pfor060","myse","80","pfor","060",232.281964076486,0.1618
"pfor360","myse","80","pfor","360",232.290182267452,0.17
"pfor240","myse","80","pfor","240",232.301670622369,0.1815
"pfor300","myse","80","pfor","300",232.30573142464,0.1856
"pfor210","myse","80","pfor","210",232.318035403753,0.1979
"pfor330","myse","80","pfor","330",232.320469422627,0.2003
