"","spp","samples","var","scale","AICc","delta"
"pwet360","myse","20","pwet","360",174.260060631667,0
"pwet330","myse","20","pwet","330",174.269012299638,0.009
"pwet300","myse","20","pwet","300",174.318068456255,0.058
"pwet270","myse","20","pwet","270",174.492532143916,0.2325
"pwet240","myse","20","pwet","240",174.719840784258,0.4598
"pwet210","myse","20","pwet","210",174.857446443107,0.5974
"pwet120","myse","20","pwet","120",174.906041489279,0.646
"pwet150","myse","20","pwet","150",174.906986227839,0.6469
"pwet180","myse","20","pwet","180",174.907260280602,0.6472
"pwet060","myse","20","pwet","060",174.907813018704,0.6478
"pwet090","myse","20","pwet","090",174.908099938702,0.648
