"","spp","samples","var","scale","AICc","delta"
"pwet060","epfu","30","pwet","060",234.487599115731,0
"pwet090","epfu","30","pwet","090",234.576074804423,0.0885
"pwet120","epfu","30","pwet","120",234.985557005065,0.498
"pwet150","epfu","30","pwet","150",235.629188037496,1.1416
"pwet270","epfu","30","pwet","270",235.634373846826,1.1468
"pwet300","epfu","30","pwet","300",235.635809551908,1.1482
"pwet240","epfu","30","pwet","240",235.660974415868,1.1734
"pwet330","epfu","30","pwet","330",235.670372339416,1.1828
"pwet360","epfu","30","pwet","360",235.696562860604,1.209
"pwet210","epfu","30","pwet","210",235.711338631043,1.2237
"pwet180","epfu","30","pwet","180",235.749383143919,1.2618
