"","spp","samples","var","scale","AICc","delta","df"
"pfor360","epfu","60","pfor","360",268.41328778978,0,3
"pfor330","epfu","60","pfor","330",268.6429734153,0.2297,3
"pfor300","epfu","60","pfor","300",268.957427304749,0.5441,3
"pfor270","epfu","60","pfor","270",269.261274442839,0.848,3
"pfor240","epfu","60","pfor","240",269.511603736178,1.0983,3
"pfor210","epfu","60","pfor","210",269.959985522244,1.5467,3
"pfor180","epfu","60","pfor","180",270.28166671866,1.8684,3
"pfor150","epfu","60","pfor","150",270.69363782408,2.2804,3
"pfor120","epfu","60","pfor","120",271.172391918867,2.7591,3
"pfor090","epfu","60","pfor","090",271.327819881552,2.9145,3
"pfor060","epfu","60","pfor","060",271.352006917191,2.9387,3
