"","spp","samples","var","scale","AICc","delta","df"
"pdev360","epfu","60","pdev","360",268.952447952736,0,3
"pdev330","epfu","60","pdev","330",269.178869760315,0.2264,3
"pdev300","epfu","60","pdev","300",269.472469458513,0.52,3
"pdev270","epfu","60","pdev","270",269.848624080048,0.8962,3
"pdev240","epfu","60","pdev","240",270.159485076019,1.207,3
"pdev210","epfu","60","pdev","210",270.606174361694,1.6537,3
"pdev180","epfu","60","pdev","180",270.869157584702,1.9167,3
"pdev150","epfu","60","pdev","150",271.101482688952,2.149,3
"pdev120","epfu","60","pdev","120",271.30262163406,2.3502,3
"pdev090","epfu","60","pdev","090",271.347894008059,2.3954,3
"pdev060","epfu","60","pdev","060",271.352033115539,2.3996,3
