"","spp","samples","var","scale","AICc","delta"
"bldg360","epfu","1","bldg","360",76.7191720534597,0
"bldg330","epfu","1","bldg","330",77.0612760313884,0.3421
"bldg300","epfu","1","bldg","300",77.4538221962496,0.7347
"bldg270","epfu","1","bldg","270",77.9512922454841,1.2321
"bldg120","epfu","1","bldg","120",78.1633806043837,1.4442
"bldg240","epfu","1","bldg","240",78.3047330510147,1.5856
"bldg150","epfu","1","bldg","150",78.3731668014154,1.654
"bldg060","epfu","1","bldg","060",78.4123759087083,1.6932
"bldg090","epfu","1","bldg","090",78.4629447251614,1.7438
"bldg180","epfu","1","bldg","180",78.5067987580899,1.7876
"bldg210","epfu","1","bldg","210",78.5713142490668,1.8521
