"","spp","samples","var","scale","AICc","delta","df"
"pfor360","epfu","20","pfor","360",212.282918855594,0,3
"pfor330","epfu","20","pfor","330",212.508401655518,0.2255,3
"pfor300","epfu","20","pfor","300",212.803999473986,0.5211,3
"pfor270","epfu","20","pfor","270",213.093563710581,0.8106,3
"pfor240","epfu","20","pfor","240",213.337440156241,1.0545,3
"pfor210","epfu","20","pfor","210",213.805118091495,1.5222,3
"pfor180","epfu","20","pfor","180",214.142309404287,1.8594,3
"pfor150","epfu","20","pfor","150",214.536453894199,2.2535,3
"pfor120","epfu","20","pfor","120",214.956787736187,2.6739,3
"pfor090","epfu","20","pfor","090",215.085811312193,2.8029,3
"pfor060","epfu","20","pfor","060",215.099954169322,2.817,3
