"","spp","samples","var","scale","AICc","delta","df"
"road180","epfu","50","road","180",259.782564305728,0,3
"road360","epfu","50","road","360",261.048396253421,1.2658,3
"road330","epfu","50","road","330",261.283570209996,1.501,3
"road120","epfu","50","road","120",261.323018860967,1.5405,3
"road210","epfu","50","road","210",261.338984201187,1.5564,3
"road150","epfu","50","road","150",261.400799434056,1.6182,3
"road060","epfu","50","road","060",261.786079546024,2.0035,3
"road300","epfu","50","road","300",261.825407456085,2.0428,3
"road090","epfu","50","road","090",261.90174491116,2.1192,3
"road240","epfu","50","road","240",261.927961380005,2.1454,3
"road270","epfu","50","road","270",261.950398270014,2.1678,3
