"","spp","samples","var","scale","AICc","delta"
"road090","myse","30","road","090",189.756519096504,0
"road270","myse","30","road","270",190.424140224638,0.6676
"road150","myse","30","road","150",190.909860551255,1.1533
"road300","myse","30","road","300",190.965881150742,1.2094
"road210","myse","30","road","210",191.088724359215,1.3322
"road360","myse","30","road","360",191.21175373115,1.4552
"road240","myse","30","road","240",191.33346516842,1.5769
"road180","myse","30","road","180",191.357041128316,1.6005
"road330","myse","30","road","330",191.457450103177,1.7009
"road060","myse","30","road","060",191.493784697269,1.7373
"road120","myse","30","road","120",191.523489558178,1.767
