"","spp","samples","var","scale","AICc","delta","df"
"pgra330","epfu","10","pgra","330",178.111578216317,0,3
"pgra300","epfu","10","pgra","300",178.191272404734,0.0797,3
"pgra210","epfu","10","pgra","210",178.276423007281,0.1648,3
"pgra360","epfu","10","pgra","360",178.295632420676,0.1841,3
"pgra240","epfu","10","pgra","240",178.302833844587,0.1913,3
"pgra270","epfu","10","pgra","270",178.456099030473,0.3445,3
"pgra180","epfu","10","pgra","180",178.530674793418,0.4191,3
"pgra150","epfu","10","pgra","150",178.940253294269,0.8287,3
"pgra060","epfu","10","pgra","060",179.526473439773,1.4149,3
"pgra120","epfu","10","pgra","120",179.63075110037,1.5192,3
"pgra090","epfu","10","pgra","090",179.796080338234,1.6845,3
