"","spp","samples","var","scale","AICc","delta","df"
"pwet360","myse","60","pwet","360",220.060128473332,0,3
"pwet330","myse","60","pwet","330",220.072059598309,0.0119,3
"pwet300","myse","60","pwet","300",220.104426255464,0.0443,3
"pwet270","myse","60","pwet","270",220.200901706922,0.1408,3
"pwet150","myse","60","pwet","150",220.238207653209,0.1781,3
"pwet120","myse","60","pwet","120",220.238604910596,0.1785,3
"pwet090","myse","60","pwet","090",220.258611333562,0.1985,3
"pwet060","myse","60","pwet","060",220.270636335488,0.2105,3
"pwet180","myse","60","pwet","180",220.274146371765,0.214,3
"pwet240","myse","60","pwet","240",220.307119015856,0.247,3
"pwet210","myse","60","pwet","210",220.326318058949,0.2662,3
