"","spp","samples","var","scale","AICc","delta"
"bldg060","myse","50","bldg","060",206.810314453606,0
"bldg090","myse","50","bldg","090",210.812257500155,4.0019
"bldg120","myse","50","bldg","120",211.50678242373,4.6965
"bldg330","myse","50","bldg","330",211.897534537586,5.0872
"bldg360","myse","50","bldg","360",211.961921188561,5.1516
"bldg150","myse","50","bldg","150",211.966903366816,5.1566
"bldg300","myse","50","bldg","300",212.168863628856,5.3585
"bldg270","myse","50","bldg","270",212.5212095555,5.7109
"bldg180","myse","50","bldg","180",212.566853658138,5.7565
"bldg240","myse","50","bldg","240",212.692063718776,5.8817
"bldg210","myse","50","bldg","210",212.741097885524,5.9308
