"","spp","samples","var","scale","AICc","delta"
"bldg060","myse","80","bldg","060",226.914661553494,0
"bldg090","myse","80","bldg","090",230.70463946881,3.79
"bldg120","myse","80","bldg","120",231.346978194479,4.4323
"bldg330","myse","80","bldg","330",231.408743205969,4.4941
"bldg360","myse","80","bldg","360",231.473675710871,4.559
"bldg150","myse","80","bldg","150",231.65847720259,4.7438
"bldg300","myse","80","bldg","300",231.679000139772,4.7643
"bldg270","myse","80","bldg","270",232.052239943381,5.1376
"bldg180","myse","80","bldg","180",232.182446626044,5.2678
"bldg240","myse","80","bldg","240",232.248575541502,5.3339
"bldg210","myse","80","bldg","210",232.320016351012,5.4054
