"","spp","samples","var","scale","AICc","delta"
"pwet330","myse","10","pwet","330",146.460129194429,0
"pwet360","myse","10","pwet","360",146.473023075308,0.0129
"pwet300","myse","10","pwet","300",146.485490627457,0.0254
"pwet270","myse","10","pwet","270",146.618189178598,0.1581
"pwet150","myse","10","pwet","150",146.773433099929,0.3133
"pwet240","myse","10","pwet","240",146.779652774294,0.3195
"pwet120","myse","10","pwet","120",146.78837150221,0.3282
"pwet090","myse","10","pwet","090",146.809716140816,0.3496
"pwet060","myse","10","pwet","060",146.810071981511,0.3499
"pwet180","myse","10","pwet","180",146.810085347685,0.35
"pwet210","myse","10","pwet","210",146.846689029951,0.3866
