"","spp","samples","var","scale","AICc","delta"
"pwet060","epfu","40","pwet","060",249.340430901282,0
"pwet090","epfu","40","pwet","090",249.430355328146,0.0899
"pwet120","epfu","40","pwet","120",249.787954620309,0.4475
"pwet270","epfu","40","pwet","270",250.34991032775,1.0095
"pwet300","epfu","40","pwet","300",250.350159281509,1.0097
"pwet240","epfu","40","pwet","240",250.377584540934,1.0372
"pwet330","epfu","40","pwet","330",250.387305765445,1.0469
"pwet150","epfu","40","pwet","150",250.38792875965,1.0475
"pwet360","epfu","40","pwet","360",250.419436144662,1.079
"pwet210","epfu","40","pwet","210",250.433068542337,1.0926
"pwet180","epfu","40","pwet","180",250.487569031395,1.1471
