"","spp","samples","var","scale","AICc","delta"
"road090","myse","80","road","090",230.178182721154,0
"road270","myse","80","road","270",231.475964551366,1.2978
"road150","myse","80","road","150",231.901557887565,1.7234
"road300","myse","80","road","300",231.998970737385,1.8208
"road360","myse","80","road","360",232.041144184536,1.863
"road210","myse","80","road","210",232.046093453956,1.8679
"road240","myse","80","road","240",232.151161588013,1.973
"road120","myse","80","road","120",232.166481678837,1.9883
"road180","myse","80","road","180",232.269745181216,2.0916
"road330","myse","80","road","330",232.273795704698,2.0956
"road060","myse","80","road","060",232.312719599852,2.1345
