"","spp","samples","var","scale","AICc","delta"
"bldg360","epfu","50","bldg","360",259.296614056771,0
"bldg330","epfu","50","bldg","330",259.678695110157,0.3821
"bldg300","epfu","50","bldg","300",260.002899698742,0.7063
"bldg270","epfu","50","bldg","270",260.566413070134,1.2698
"bldg240","epfu","50","bldg","240",260.994602706225,1.698
"bldg210","epfu","50","bldg","210",261.469099838781,2.1725
"bldg180","epfu","50","bldg","180",261.758263442945,2.4616
"bldg060","epfu","50","bldg","060",261.849523165925,2.5529
"bldg090","epfu","50","bldg","090",261.90689922434,2.6103
"bldg120","epfu","50","bldg","120",261.926905552714,2.6303
"bldg150","epfu","50","bldg","150",261.94347195058,2.6469
