"","spp","samples","var","scale","AICc","delta","df"
"pdev150","myse","30","pdev","150",191.454679780808,0,3
"pdev120","myse","30","pdev","120",191.48457392484,0.0299,3
"pdev270","myse","30","pdev","270",191.506307876715,0.0516,3
"pdev300","myse","30","pdev","300",191.506565536663,0.0519,3
"pdev330","myse","30","pdev","330",191.518758195474,0.0641,3
"pdev180","myse","30","pdev","180",191.525699450196,0.071,3
"pdev360","myse","30","pdev","360",191.536531428273,0.0819,3
"pdev060","myse","30","pdev","060",191.53934575413,0.0847,3
"pdev240","myse","30","pdev","240",191.550014395018,0.0953,3
"pdev090","myse","30","pdev","090",191.552106050224,0.0974,3
"pdev210","myse","30","pdev","210",191.579474663582,0.1248,3
