"","spp","samples","var","scale","AICc","delta"
"pgra300","epfu","90","pgra","300",289.825365568802,0
"pgra330","epfu","90","pgra","330",289.835891502549,0.0105
"pgra210","epfu","90","pgra","210",289.964950704728,0.1396
"pgra240","epfu","90","pgra","240",290.001052016917,0.1757
"pgra270","epfu","90","pgra","270",290.116859323515,0.2915
"pgra360","epfu","90","pgra","360",290.154147088552,0.3288
"pgra180","epfu","90","pgra","180",290.188865705669,0.3635
"pgra150","epfu","90","pgra","150",290.577263242203,0.7519
"pgra060","epfu","90","pgra","060",291.293326128488,1.468
"pgra120","epfu","90","pgra","120",291.344920181395,1.5196
"pgra090","epfu","90","pgra","090",291.554908743946,1.7295
