"","spp","samples","var","scale","AICc","delta"
"pdev360","epfu","1","pdev","360",75.0583306607828,0
"pdev330","epfu","1","pdev","330",75.1449819149812,0.0867
"pdev300","epfu","1","pdev","300",75.3579249770631,0.2996
"pdev270","epfu","1","pdev","270",75.5461349514887,0.4878
"pdev240","epfu","1","pdev","240",75.7118668939535,0.6535
"pdev210","epfu","1","pdev","210",76.1452026967194,1.0869
"pdev180","epfu","1","pdev","180",76.4705686733558,1.4122
"pdev150","epfu","1","pdev","150",76.7963332488773,1.738
"pdev120","epfu","1","pdev","120",77.2233666648718,2.165
"pdev060","epfu","1","pdev","060",77.2511036866752,2.1928
"pdev090","epfu","1","pdev","090",77.3439076395664,2.2856
