"","spp","samples","var","scale","AICc","delta","df"
"pdev150","myse","40","pdev","150",203.341171551989,0,3
"pdev120","myse","40","pdev","120",203.368844937911,0.0277,3
"pdev180","myse","40","pdev","180",203.416013432139,0.0748,3
"pdev270","myse","40","pdev","270",203.43190304031,0.0907,3
"pdev300","myse","40","pdev","300",203.432115966983,0.0909,3
"pdev330","myse","40","pdev","330",203.440899885987,0.0997,3
"pdev090","myse","40","pdev","090",203.442895995926,0.1017,3
"pdev060","myse","40","pdev","060",203.445565295351,0.1044,3
"pdev360","myse","40","pdev","360",203.453793632847,0.1126,3
"pdev240","myse","40","pdev","240",203.46518012055,0.124,3
"pdev210","myse","40","pdev","210",203.478969513998,0.1378,3
