"","spp","samples","var","scale","AICc","delta"
"pwet360","myse","90","pwet","360",236.910341199975,0
"pwet330","myse","90","pwet","330",236.926639800945,0.0163
"pwet300","myse","90","pwet","300",236.967927823087,0.0576
"pwet270","myse","90","pwet","270",237.071120960479,0.1608
"pwet240","myse","90","pwet","240",237.194376215157,0.284
"pwet150","myse","90","pwet","150",237.201327526637,0.291
"pwet120","myse","90","pwet","120",237.211194900535,0.3009
"pwet180","myse","90","pwet","180",237.216734475013,0.3064
"pwet090","myse","90","pwet","090",237.22230946964,0.312
"pwet060","myse","90","pwet","060",237.2247092515,0.3144
"pwet210","myse","90","pwet","210",237.236794532213,0.3265
