"","spp","samples","var","scale","AICc","delta","df"
"pfor360","epfu","40","pfor","360",247.768583235897,0,3
"pfor330","epfu","40","pfor","330",247.987723786465,0.2191,3
"pfor300","epfu","40","pfor","300",248.289016123161,0.5204,3
"pfor270","epfu","40","pfor","270",248.580662501672,0.8121,3
"pfor240","epfu","40","pfor","240",248.812148370201,1.0436,3
"pfor210","epfu","40","pfor","210",249.249138449108,1.4806,3
"pfor180","epfu","40","pfor","180",249.561409004985,1.7928,3
"pfor150","epfu","40","pfor","150",249.944159080362,2.1756,3
"pfor120","epfu","40","pfor","120",250.363118750284,2.5945,3
"pfor090","epfu","40","pfor","090",250.48226160462,2.7137,3
"pfor060","epfu","40","pfor","060",250.48385633313,2.7153,3
