"","spp","samples","var","scale","AICc","delta","df"
"bldg360","epfu","30","bldg","360",233.211494863244,0,3
"bldg330","epfu","30","bldg","330",233.595542576944,0.384,3
"bldg300","epfu","30","bldg","300",233.925532631704,0.714,3
"bldg270","epfu","30","bldg","270",234.484794444875,1.2733,3
"bldg240","epfu","30","bldg","240",234.920621399499,1.7091,3
"bldg210","epfu","30","bldg","210",235.374754127283,2.1633,3
"bldg060","epfu","30","bldg","060",235.565714238809,2.3542,3
"bldg180","epfu","30","bldg","180",235.624879368012,2.4134,3
"bldg090","epfu","30","bldg","090",235.64379979669,2.4323,3
"bldg120","epfu","30","bldg","120",235.674084970875,2.4626,3
"bldg150","epfu","30","bldg","150",235.748266574486,2.5368,3
