"","spp","samples","var","scale","AICc","delta"
"pgra090","myse","40","pgra","090",198.209809838916,0
"pgra060","myse","40","pgra","060",198.283686460706,0.0739
"pgra120","myse","40","pgra","120",199.029430037386,0.8196
"pgra150","myse","40","pgra","150",199.323342811857,1.1135
"pgra180","myse","40","pgra","180",199.832376278245,1.6226
"pgra210","myse","40","pgra","210",200.751494809314,2.5417
"pgra240","myse","40","pgra","240",201.158303337736,2.9485
"pgra270","myse","40","pgra","270",201.559993272004,3.3502
"pgra300","myse","40","pgra","300",202.210459990244,4.0007
"pgra330","myse","40","pgra","330",202.953165800151,4.7434
"pgra360","myse","40","pgra","360",203.360198503782,5.1504
