"","spp","samples","var","scale","AICc","delta"
"pdev360","epfu","20","pdev","360",212.76432494317,0
"pdev330","epfu","20","pdev","330",212.984175661154,0.2199
"pdev300","epfu","20","pdev","300",213.26262018571,0.4983
"pdev270","epfu","20","pdev","270",213.628496030421,0.8642
"pdev240","epfu","20","pdev","240",213.936055831842,1.1717
"pdev210","epfu","20","pdev","210",214.394543931685,1.6302
"pdev180","epfu","20","pdev","180",214.662804438674,1.8985
"pdev150","epfu","20","pdev","150",214.887771744288,2.1234
"pdev120","epfu","20","pdev","120",215.065865906589,2.3015
"pdev060","epfu","20","pdev","060",215.095744961178,2.3314
"pdev090","epfu","20","pdev","090",215.100796443235,2.3365
