"","spp","samples","var","scale","AICc","delta","df"
"pfor150","myse","40","pfor","150",203.319229606541,0,3
"pfor120","myse","40","pfor","120",203.35319031586,0.034,3
"pfor060","myse","40","pfor","060",203.397120145835,0.0779,3
"pfor180","myse","40","pfor","180",203.421832561788,0.1026,3
"pfor270","myse","40","pfor","270",203.442856719422,0.1236,3
"pfor360","myse","40","pfor","360",203.446698902477,0.1275,3
"pfor090","myse","40","pfor","090",203.452833915847,0.1336,3
"pfor240","myse","40","pfor","240",203.464005225353,0.1448,3
"pfor300","myse","40","pfor","300",203.470417744664,0.1512,3
"pfor210","myse","40","pfor","210",203.480107786226,0.1609,3
"pfor330","myse","40","pfor","330",203.480704373463,0.1615,3
