"","spp","samples","var","scale","AICc","delta","df"
"pfor060","myse","1","pfor","060",64.4861676786747,0,3
"pfor150","myse","1","pfor","150",64.7647464287267,0.2786,3
"pfor090","myse","1","pfor","090",64.8009031763117,0.3147,3
"pfor270","myse","1","pfor","270",64.8084038239388,0.3222,3
"pfor180","myse","1","pfor","180",64.8095257769948,0.3234,3
"pfor300","myse","1","pfor","300",64.8168876288508,0.3307,3
"pfor240","myse","1","pfor","240",64.8305553424571,0.3444,3
"pfor120","myse","1","pfor","120",64.8418867253765,0.3557,3
"pfor330","myse","1","pfor","330",64.8433003718168,0.3571,3
"pfor360","myse","1","pfor","360",64.8526503809486,0.3665,3
"pfor210","myse","1","pfor","210",64.8553900922629,0.3692,3
