"","spp","samples","var","scale","AICc","delta"
"pdev150","myse","50","pdev","150",212.561810078316,0
"pdev120","myse","50","pdev","120",212.592311303215,0.0305
"pdev180","myse","50","pdev","180",212.647535021389,0.0857
"pdev090","myse","50","pdev","090",212.678532362348,0.1167
"pdev270","myse","50","pdev","270",212.719862283935,0.1581
"pdev300","myse","50","pdev","300",212.720357805601,0.1585
"pdev330","myse","50","pdev","330",212.726714798707,0.1649
"pdev060","myse","50","pdev","060",212.729543634797,0.1677
"pdev210","myse","50","pdev","210",212.732838307984,0.171
"pdev360","myse","50","pdev","360",212.735897349941,0.1741
"pdev240","myse","50","pdev","240",212.74011145553,0.1783
