"","spp","samples","var","scale","AICc","delta"
"bldg060","myse","20","bldg","060",167.658469165288,0
"bldg090","myse","20","bldg","090",172.799499222267,5.141
"bldg120","myse","20","bldg","120",173.635037828996,5.9766
"bldg330","myse","20","bldg","330",173.808268037388,6.1498
"bldg360","myse","20","bldg","360",173.842582593022,6.1841
"bldg150","myse","20","bldg","150",174.120220613915,6.4618
"bldg300","myse","20","bldg","300",174.123017458359,6.4645
"bldg270","myse","20","bldg","270",174.549646322893,6.8912
"bldg180","myse","20","bldg","180",174.741342983396,7.0829
"bldg240","myse","20","bldg","240",174.799895667135,7.1414
"bldg210","myse","20","bldg","210",174.908553638145,7.2501
