"","spp","samples","var","scale","AICc","delta"
"pdev360","epfu","40","pdev","360",248.368375457008,0
"pdev330","epfu","40","pdev","330",248.577027016571,0.2087
"pdev300","epfu","40","pdev","300",248.85164528741,0.4833
"pdev270","epfu","40","pdev","270",249.2043521355,0.836
"pdev240","epfu","40","pdev","240",249.491759085172,1.1234
"pdev210","epfu","40","pdev","210",249.907470863435,1.5391
"pdev180","epfu","40","pdev","180",250.146167258851,1.7778
"pdev150","epfu","40","pdev","150",250.338492200655,1.9701
"pdev120","epfu","40","pdev","120",250.476255140886,2.1079
"pdev060","epfu","40","pdev","060",250.477389010024,2.109
"pdev090","epfu","40","pdev","090",250.486967844077,2.1186
