"","spp","samples","var","scale","AICc","delta"
"pwet060","epfu","20","pwet","060",214.268905933242,0
"pwet090","epfu","20","pwet","090",214.397477101626,0.1286
"pwet120","epfu","20","pwet","120",214.724632179665,0.4557
"pwet270","epfu","20","pwet","270",214.733526380494,0.4646
"pwet300","epfu","20","pwet","300",214.754403529903,0.4855
"pwet240","epfu","20","pwet","240",214.763766177453,0.4949
"pwet330","epfu","20","pwet","330",214.834082021949,0.5652
"pwet210","epfu","20","pwet","210",214.863450713234,0.5945
"pwet360","epfu","20","pwet","360",214.905916168305,0.637
"pwet180","epfu","20","pwet","180",215.01215304101,0.7432
"pwet150","epfu","20","pwet","150",215.096686812094,0.8278
