"","spp","samples","var","scale","AICc","delta"
"pdev360","epfu","70","pdev","360",276.970774930546,0
"pdev330","epfu","70","pdev","330",277.1923392389,0.2216
"pdev300","epfu","70","pdev","300",277.482456352904,0.5117
"pdev270","epfu","70","pdev","270",277.854519333906,0.8837
"pdev240","epfu","70","pdev","240",278.162729981396,1.192
"pdev210","epfu","70","pdev","210",278.596426190907,1.6257
"pdev180","epfu","70","pdev","180",278.844769783428,1.874
"pdev150","epfu","70","pdev","150",279.061715358435,2.0909
"pdev120","epfu","70","pdev","120",279.253807585979,2.283
"pdev090","epfu","70","pdev","090",279.299630021872,2.3289
"pdev060","epfu","70","pdev","060",279.304453735601,2.3337
