"","spp","samples","var","scale","AICc","delta"
"pfor150","myse","60","pfor","150",220.144551559582,0
"pfor120","myse","60","pfor","120",220.180355882707,0.0358
"pfor180","myse","60","pfor","180",220.260162962858,0.1156
"pfor060","myse","60","pfor","060",220.271142492402,0.1266
"pfor090","myse","60","pfor","090",220.288093486643,0.1435
"pfor270","myse","60","pfor","270",220.288993639262,0.1444
"pfor360","myse","60","pfor","360",220.296328617004,0.1518
"pfor240","myse","60","pfor","240",220.311225796451,0.1667
"pfor300","myse","60","pfor","300",220.316565391303,0.172
"pfor210","myse","60","pfor","210",220.326876005581,0.1823
"pfor330","myse","60","pfor","330",220.328867200801,0.1843
