"","spp","samples","var","scale","AICc","delta"
"pgra090","myse","80","pgra","090",227.09236868962,0
"pgra060","myse","80","pgra","060",227.200997355125,0.1086
"pgra120","myse","80","pgra","120",227.997798693547,0.9054
"pgra150","myse","80","pgra","150",228.281077499878,1.1887
"pgra180","myse","80","pgra","180",228.754397352298,1.662
"pgra210","myse","80","pgra","210",229.635941186004,2.5436
"pgra240","myse","80","pgra","240",230.066085997713,2.9737
"pgra270","myse","80","pgra","270",230.532266489572,3.4399
"pgra300","myse","80","pgra","300",231.218347126994,4.126
"pgra330","myse","80","pgra","330",231.933160264169,4.8408
"pgra360","myse","80","pgra","360",232.269599419567,5.1772
